13;260;de;artikel_010;"  egelsbach    chiaramonte inzolia sicilia doc 2015 - firriato ein sizilianischer weisser reinsortig aus inzolia mit einem delikaten duft nach kraeutern und blumen wuerzig frisch und gut strukturiertchiaramonte inzolia sicilia doc 2015 - firriato - weinart weisswein land italien allergene weitere inhaltsstoffe enthaelt sulfite und schwefeldioxid qualitaetsklassifikation  praedikate doc denominazione di origine controllata      neu    390 eur lieferbar in 1-2 tagen   800282e12 x1217x andere x1235x deutschland"
13;260;en;artikel_010;"  egelsbach    chiaramonte inzolia sicilia doc 2015 - firriato ein sizilianischer weisser reinsortig aus inzolia mit einem delikaten duft nach kraeutern und blumen wuerzig frisch und gut strukturiertchiaramonte inzolia sicilia doc 2015 - firriato - weinart weisswein land italien allergene weitere inhaltsstoffe enthaelt sulfite und schwefeldioxid qualitaetsklassifikation  praedikate doc denominazione di origine controllata      neu    390 eur lieferbar in 1-2 tagen   800282e12 x1217x andere x1235x germany"
14;260;de;artikel_010;"  egelsbach    mentor barossa valley 2011 - peter lehmann ein reinsortiger cabernet sauvignon mit einer vielschichtigen aromenvielfalt im bouquet festes feinkoerniges tannin sorgt fuer ein samtiges gefuehlmentor barossa valley 2011 - peter lehmann - land australien allergene weitere inhaltsstoffe enthaeltsulfite restzucker ca  in gl 290 gesamtsaeure ca  in gl 600      neu    390 eur lieferbar in 3 tagen   931191e12 x1217x andere x1235x deutschland"
14;260;en;artikel_010;"  egelsbach    mentor barossa valley 2011 - peter lehmann ein reinsortiger cabernet sauvignon mit einer vielschichtigen aromenvielfalt im bouquet festes feinkoerniges tannin sorgt fuer ein samtiges gefuehlmentor barossa valley 2011 - peter lehmann - land australien allergene weitere inhaltsstoffe enthaeltsulfite restzucker ca  in gl 290 gesamtsaeure ca  in gl 600      neu    390 eur lieferbar in 3 tagen   931191e12 x1217x andere x1235x germany"
15;260;de;artikel_010;"  egelsbach    pinot blanc apoge traditions 2011 aoc - vignoble des 2 lunes ein 100-iger pinot blanc mit intensiv fruchtigen aromen die balance zwischen saeure und suesse ist perfekt abgestimmtpinot blanc apoge traditions 2011 aoc - vignoble des 2 lunes - land frankreich allergene weitere inhaltsstoffe enthaelt sulfite und schwefeldioxid qualitaetsklassifikation  praedikate aoc appellation dorigine contrle      neu    390 eur lieferbar in 1-2 tagen   376011e12 x1217x andere x1235x deutschland"
15;260;en;artikel_010;"  egelsbach    pinot blanc apoge traditions 2011 aoc - vignoble des 2 lunes ein 100-iger pinot blanc mit intensiv fruchtigen aromen die balance zwischen saeure und suesse ist perfekt abgestimmtpinot blanc apoge traditions 2011 aoc - vignoble des 2 lunes - land frankreich allergene weitere inhaltsstoffe enthaelt sulfite und schwefeldioxid qualitaetsklassifikation  praedikate aoc appellation dorigine contrle      neu    390 eur lieferbar in 1-2 tagen   376011e12 x1217x andere x1235x germany"
16;260;de;artikel_010;"  egelsbach    hill  dale cabernet sauvignonshiraz 2013 - stellenzicht eine fruchtige cuve mit den charakteristischen shiraz-aromen sowie gewuerz- und harmonischen holznoten intensiv und weichhill  dale cabernet sauvignonshiraz 2013 - stellenzicht - weinart rotwein land suedafrika allergene weitere inhaltsstoffe enthaelt sulfite und schwefeldioxid restzucker ca  in gl 040 gesamtsaeure ca  in gl 570      neu    390 eur lieferbar in 1-2 tagen   600111e12 x1217x andere x1235x deutschland"
16;260;en;artikel_010;"  egelsbach    hill  dale cabernet sauvignonshiraz 2013 - stellenzicht eine fruchtige cuve mit den charakteristischen shiraz-aromen sowie gewuerz- und harmonischen holznoten intensiv und weichhill  dale cabernet sauvignonshiraz 2013 - stellenzicht - weinart rotwein land suedafrika allergene weitere inhaltsstoffe enthaelt sulfite und schwefeldioxid restzucker ca  in gl 040 gesamtsaeure ca  in gl 570      neu    390 eur lieferbar in 1-2 tagen   600111e12 x1217x andere x1235x germany"
17;260;de;artikel_010;"  egelsbach    chablis premier cru monte de tonnerre 2015 aoc - domaine servin der chablis monte de tonnerre aoc premier cru von domaine servin ist ein exzellenter chablis allererster guete die unglaublich elegante nase begeistert mit mineralischen noten citrischen nuancen und feinen anfluegen von wiesenkraeutern und blumen am gaumen ist der chablis monte de tonnerre aoc chablis premier cru monte de tonnerre 2015 aoc - domaine servin - land frankreich allergene weitere inhaltsstoffe enthaelt sulfite und schwefeldioxid qualitaetsklassifikation  praedikate aoc appellation dorigine contrle      neu    390 eur lieferbar in 1-2 tagen   358569e12 x1217x andere x1235x deutschland"
17;260;en;artikel_010;"  egelsbach    chablis premier cru monte de tonnerre 2015 aoc - domaine servin der chablis monte de tonnerre aoc premier cru von domaine servin ist ein exzellenter chablis allererster guete die unglaublich elegante nase begeistert mit mineralischen noten citrischen nuancen und feinen anfluegen von wiesenkraeutern und blumen am gaumen ist der chablis monte de tonnerre aoc chablis premier cru monte de tonnerre 2015 aoc - domaine servin - land frankreich allergene weitere inhaltsstoffe enthaelt sulfite und schwefeldioxid qualitaetsklassifikation  praedikate aoc appellation dorigine contrle      neu    390 eur lieferbar in 1-2 tagen   358569e12 x1217x andere x1235x germany"
18;260;de;artikel_010;"  egelsbach    chianti classico 2011 docg - casa vinicola bartali der chianti classico docg von casa vinicola bartali ist einer melange mit frisch-fruchtigen intensiven noten in der nase dem gaumen schmeichelt dieser trockene chianti classico mit angenehm weichen und samtigen tanninen beeindruckender frische und einem mittleren elegachianti classico 2011 docg - casa vinicola bartali - land italien allergene weitere inhaltsstoffe enthaelt sulfite und schwefeldioxid qualitaetsklassifikation  praedikate docg denominazione di origine controllata e garantita      neu    390 eur lieferbar in 1-2 tagen   800013e12 x1217x andere x1235x deutschland"
18;260;en;artikel_010;"  egelsbach    chianti classico 2011 docg - casa vinicola bartali der chianti classico docg von casa vinicola bartali ist einer melange mit frisch-fruchtigen intensiven noten in der nase dem gaumen schmeichelt dieser trockene chianti classico mit angenehm weichen und samtigen tanninen beeindruckender frische und einem mittleren elegachianti classico 2011 docg - casa vinicola bartali - land italien allergene weitere inhaltsstoffe enthaelt sulfite und schwefeldioxid qualitaetsklassifikation  praedikate docg denominazione di origine controllata e garantita      neu    390 eur lieferbar in 1-2 tagen   800013e12 x1217x andere x1235x germany"
